PRENOM_NOM;PRENOM;NOM;TEAM;POS;IDRECHERCHE1;IDRECHERCHE2
Stevan Jovetic;Stevan;Jovetic;MON;Forward;JoveticStevanMON;
Keita;;Keita;MON;Forward;KeitaMON;
Rolando;Jorge;Rolando;MAR;Defender;RolandoJorgeMAR;RolandoMAR
Jorginho;;Jorginho;ETI;Midfielder;JorginhoETI;
Adrien Hunou;Adrien;Hunou;REN;Midfielder;HunouAdrienREN;
Joris Kayembe;Joris;Kayembe;NTE;Midfielder;KayembeJorisNTE;
Jules Iloki;Jules;Iloki;NTE;Midfielder;IlokiJulesNTE;
Julian Draxler;Julian;Draxler;PSG;Forward;DraxlerJulianPSG;
Julien Cardy;Julien;Cardy;GUI;Midfielder;CardyJulienGUI;
Julien Feret;Julien;Feret;CAE;Midfielder;FeretJulienCAE;
Julien Ielsch;Julien;Ielsch;AMN;Defender;IelschJulienAMN;
Julio Tavares;Julio;Tavares;DIJ;Forward;TavaresJulioDIJ;
Junior Alonso;Junior;Alonso;LIL;Defender;AlonsoJuniorLIL;
Junior Sambia  ;Junior;Sambia;MTP;Midfielder;SambiaJuniorMTP;
Jonas Martin;Jonas;Martin;STR;Midfielder;MartinJonasSTR;
Kalifa Traore  ;Kalifa;Traore;ANG;Defender;TraoreKalifaANG;
Terence Kongolo;Terence;Kongolo;MON;Defender;KongoloTerenceMON;
Karim Achahbar;Karim;Achahbar;GUI;Forward;AchahbarKarimGUI;
Jan Kaye;Jan;Kaye;TRO;Forward;KayeJanTRO;
Karl Toko Ekambi;Karl;Toko Ekambi;ANG;Forward;Toko_EkambiKarlANG;
Karl-Johan Johnsson;Karl-Johan;Johnsson;GUI;Goalkeeper;JohnssonKarl-JohanGUI;
Keagan Dolly;Keagan;Dolly;MTP;Midfielder;DollyKeaganMTP;
Kelvin Amian Adou;Kelvin;Amian Adou;TOU;Defender;Amian_AdouKelvinTOU;
Pablo Martinez;Pablo;Martinez;STR;Defender;MartinezPabloSTR;
Kenny Rocha Santos;Kenny;Rocha Santos;ETI;Midfielder;Rocha_SantosKennyETI;
Kenny Tete;Kenny;Tete;LYO;Defender;TeteKennyLYO;
Nicolas Janvier;Nicolas;Janvier;REN;Midfielder;JanvierNicolasREN;
Kevin Berigaud;Kevin;Berigaud;MTP;Forward;BerigaudKevinMTP;
Kevin Malcuit;Kevin;Malcuit;LIL;Defender;MalcuitKevinLIL;
Kevin Monnet-Paquet;Kevin;Monnet-Paquet;ETI;Forward;Monnet-PaquetKevinETI;
Thomas Lemar;Thomas;Lemar;MON;Midfielder;LemarThomasMON;
Kevin Rimane  ;Kevin;Rimane;PSG;Defender;RimaneKevinPSG;
Kevin Theophile-Catherine;Kevin;Theophile-Catherine;ETI;Defender;Theophile-CatherineKevinETI;
Kevin Trapp;Kevin;Trapp;PSG;Goalkeeper;TrappKevinPSG;
Khaled Adenon;Khaled;Adenon;AMN;Defender;AdenonKhaledAMN;
Kilian Pagliuca;Kilian;Pagliuca;LYO;Forward;PagliucaKilianLYO;
Killian Sanson;Killian;Sanson;MTP;Midfielder;SansonKillianMTP;
Koffi Djidji;Koffi;Djidji;NTE;Defender;DjidjiKoffiNTE;
Kolbeinn Sigthorsson;Kolbeinn;Sigthorsson;NTE;Forward;SigthorssonKolbeinnNTE;
Konstantinos Mitroglou;Konstantinos;Mitroglou;MAR;Forward;MitroglouKonstantinosMAR;
Pierre Lees-Melou;Pierre;Lees-Melou;NIC;Midfielder;Lees-MelouPierreNIC;
Kwame Nsor;Kwame;Nsor;MET;Forward;NsorKwameMET;
Kylian Mbappe;Kylian;Mbappe;PSG;Forward;MbappeKylianPSG;
Rony Lopes;;Rony Lopes;MON;Midfielder;Rony_LopesMON;
Abdallah Ndour;Abdallah;Ndour;STR;Defender;NdourAbdallahSTR;
Lars Jacobsen;Lars;Jacobsen;GUI;Defender;JacobsenLarsGUI;
Lassana Coulibaly;Lassana;Coulibaly;ANG;Midfielder;CoulibalyLassanaANG;
Laurent Pionnier;Laurent;Pionnier;MTP;Goalkeeper;PionnierLaurentMTP;
Layvin Kurzawa;Layvin;Kurzawa;PSG;Defender;KurzawaLayvinPSG;
Lebogang Phiri;Lebogang;Phiri;GUI;Midfielder;PhiriLebogangGUI;
Leo Dubois;Leo;Dubois;NTE;Defender;DuboisLeoNTE;
Leo Lacroix;Leo;Lacroix;ETI;Defender;LacroixLeoETI;
Loic Perrin;Loic;Perrin;ETI;Defender;PerrinLoicETI;
Loic Puyo;Loic;Puyo;ANG;Midfielder;PuyoLoicANG;
Lois Diony;Lois;Diony;ETI;Forward;DionyLoisETI;
Lorenzo Callegari;Lorenzo;Callegari;PSG;Midfielder;CallegariLorenzoPSG;
Lorik Cana  ;Lorik;Cana;NTE;Defender;CanaLorikNTE;
Lucas Deaux;Lucas;Deaux;GUI;Midfielder;DeauxLucasGUI;
Lucas Lima;Lucas;Lima;NTE;Defender;LimaLucasNTE;
Lucas Mocio  ;Lucas;Mocio;LYO;Goalkeeper;MocioLucasLYO;
Lucas Moura;Lucas;Moura;PSG;Forward;MouraLucasPSG;
Lucas Ocampos;Lucas;Ocampos;MAR;Midfielder;OcamposLucasMAR;
Lucas Tousart;Lucas;Tousart;LYO;Midfielder;TousartLucasLYO;
Wahbi Khazri;Wahbi;Khazri;REN;Midfielder;KhazriWahbiREN;
Ludovic Blas;Ludovic;Blas;GUI;Midfielder;BlasLudovicGUI;
Luiz Araujo;Luiz;Araujo;LIL;Forward;AraujoLuizLIL;
Luiz Gustavo;;Luiz Gustavo;MAR;Midfielder;Luiz_GustavoMAR;
Lukas Lerager;Lukas;Lerager;BDX;Midfielder;LeragerLukasBDX;
Lukas Pokorny;Lukas;Pokorny;MTP;Defender;PokornyLukasMTP;
Gautier Lloris;Gautier;Lloris;NIC;Defender;LlorisGautierNIC;
Mahdi Talal  ;Mahdi;Talal;AMN;Midfielder;TalalMahdiAMN;
Arnaud Lusamba;Arnaud;Lusamba;NIC;Midfielder;LusambaArnaudNIC;
Malcom;;Malcom;BDX;Forward;MalcomBDX;
Mamadou N'Diaye;Mamadou;N'Diaye;MTP;Defender;N'DiayeMamadouMTP;
Saif-Eddine Khaoui;Saif-Eddine;Khaoui;TRO;Forward;KhaouiSaif-EddineTRO;
Mory Kone  ;Mory;Kone;TRO;Defender;KoneMoryTRO;
Mamadou Thiam;Mamadou;Thiam;DIJ;Forward;ThiamMamadouDIJ;
Mapou Yanga-Mbiwa;Mapou;Yanga-Mbiwa;LYO;Defender;Yanga-MbiwaMapouLYO;
Marc Vidal  ;Marc;Vidal;TOU;Goalkeeper;VidalMarcTOU;
Marc-Aurele Caillard;Marc-Aurele;Caillard;GUI;Goalkeeper;CaillardMarc-AureleGUI;
Marcelo;;Marcelo;LYO;Defender;MarceloLYO;
Marco Verratti;Marco;Verratti;PSG;Midfielder;VerrattiMarcoPSG;
Marcus Coco;Marcus;Coco;GUI;Midfielder;CocoMarcusGUI;
Marcus Thuram;Marcus;Thuram;GUI;Forward;ThuramMarcusGUI;
Mariano;;Mariano;LYO;Forward;MarianoLYO;
Jean-Victor Makengo;Jean-Victor;Makengo;NIC;Midfielder;MakengoJean-VictorNIC;
Marquinhos;;Marquinhos;PSG;Defender;MarquinhosPSG;
Vincent Nogueira;Vincent;Nogueira;STR;Midfielder;NogueiraVincentSTR;
Mateo Pavlovic;Mateo;Pavlovic;ANG;Defender;PavlovicMateoANG;
Mathieu Bodmer;Mathieu;Bodmer;AMN;Midfielder;BodmerMathieuAMN;
Adama Niane;Adama;Niane;TRO;Forward;NianeAdamaTRO;
Mathieu Gorgelin;Mathieu;Gorgelin;LYO;Goalkeeper;GorgelinMathieuLYO;
Mathieu Michel;Mathieu;Michel;ANG;Goalkeeper;MichelMathieuANG;
Matteo Ahlinvi  ;Matteo;Ahlinvi;GUI;Midfielder;AhlinviMatteoGUI;
Matthieu Dossevi;Matthieu;Dossevi;MET;Midfielder;DosseviMatthieuMET;
Matthieu Dreyer  ;Matthieu;Dreyer;CAE;Goalkeeper;DreyerMatthieuCAE;
Matthieu Udol;Matthieu;Udol;MET;Defender;UdolMatthieuMET;
Mauro Goicoechea;Mauro;Goicoechea;TOU;Goalkeeper;GoicoecheaMauroTOU;
Max Gradel;Max;Gradel;TOU;Forward;GradelMaxTOU;
Maxime Baca;Maxime;Baca;GUI;Defender;BacaMaximeGUI;
Maxime Dupe;Maxime;Dupe;NTE;Goalkeeper;DupeMaximeNTE;
Wallyson Mallmann  ;Wallyson;Mallmann;NIC;Midfielder;MallmannWallysonNIC;
Maxime Lopez;Maxime;Lopez;MAR;Midfielder;LopezMaximeMAR;
Maxime Poundje;Maxime;Poundje;BDX;Defender;PoundjeMaximeBDX;
Maxwel Cornet;Maxwel;Cornet;LYO;Forward;CornetMaxwelLYO;
Mehdi Abeid;Mehdi;Abeid;DIJ;Midfielder;AbeidMehdiDIJ;
Jordi Mboula;Jordi;Mboula;MON;Forward;MboulaJordiMON;
Mehdi Jean-Tahrat;Mehdi;Jean-Tahrat;ANG;Defender;Jean-TahratMehdiANG;
Tomas Koubek;Tomas;Koubek;REN;Goalkeeper;KoubekTomasREN;
Memphis Depay;Memphis;Depay;LYO;Midfielder;DepayMemphisLYO;
James Edward Lea Siliki;James Edward;Lea Siliki;REN;Midfielder;Lea_SilikiJames_EdwardREN;
Marlon;;Marlon;NIC;Defender;MarlonNIC;
Vincent Marcel;Vincent;Marcel;NIC;Forward;MarcelVincentNIC;
Mickael Nade;Mickael;Nade;ETI;Defender;NadeMickaelETI;
Mihai Roman;Mihai;Roman;TOU;Midfielder;RomanMihaiTOU;
Mike Maignan;Mike;Maignan;LIL;Goalkeeper;MaignanMikeLIL;
Milan Bisevac;Milan;Bisevac;MET;Defender;BisevacMilanMET;
Milan Gajic;Milan;Gajic;BDX;Defender;GajicMilanBDX;
Ermir Lenjani;Ermir;Lenjani;REN;Defender;LenjaniErmirREN;
Jordi Mboula  ;Jordi;Mboula;MON;Midfielder;MboulaJordiMON;
Morgan Poaty;Morgan;Poaty;MTP;Defender;PoatyMorganMTP;
Morgan Sanson;Morgan;Sanson;MAR;Midfielder;SansonMorganMAR;
Benjamin Nivet;Benjamin;Nivet;TRO;Midfielder;NivetBenjaminTRO;
Mouctar Diakhaby;Mouctar;Diakhaby;LYO;Defender;DiakhabyMouctarLYO;
Mouhamadou Dabo;Mouhamadou;Dabo;CAE;Defender;DaboMouhamadouCAE;
Moussa Konate;Moussa;Konate;AMN;Forward;KonateMoussaAMN;
Moussa Niakhate;Moussa;Niakhate;MET;Defender;NiakhateMoussaMET;
Moussa Seydi  ;Moussa;Seydi;MET;Midfielder;SeydiMoussaMET;
Moustapha Diallo;Moustapha;Diallo;GUI;Midfielder;DialloMoustaphaGUI;
Myziane Maolida;Myziane;Maolida;LYO;Forward;MaolidaMyzianeLYO;
Nabil Fekir;Nabil;Fekir;LYO;Forward;FekirNabilLYO;
Naim Sliti;Naim;Sliti;DIJ;Midfielder;SlitiNaimDIJ;
Najib Gandi;Najib;Gandi;NTE;Midfielder;GandiNajibNTE;
Nampalys Mendy;Nampalys;Mendy;NIC;Midfielder;MendyNampalysNIC;
Nanitamo Jonathan Ikone;Nanitamo Jonathan;Ikone;MTP;Midfielder;IkoneNanitamo_JonathanMTP;
Nathan;;Nathan;AMN;Midfielder;NathanAMN;
Nathan Dekoke  ;Nathan;Dekoke;AMN;Defender;DekokeNathanAMN;
Neymar;;Neymar;PSG;Forward;NeymarPSG;
Nicolas Basin;Nicolas;Basin;MET;Defender;BasinNicolasMET;
Nicolas Benezet;Nicolas;Benezet;GUI;Midfielder;BenezetNicolasGUI;
Nicolas Cozza  ;Nicolas;Cozza;MTP;Defender;CozzaNicolasMTP;
Nicolas De Preville;Nicolas;De Preville;BDX;Forward;De_PrevilleNicolasBDX;
Fait Maouassa;Faitout;Maouassa;REN;Midfielder;MaouassaFaitoutREN;
Nicolas Pallois;Nicolas;Pallois;NTE;Defender;PalloisNicolasNTE;
Nicolas Pepe;Nicolas;Pepe;LIL;Forward;PepeNicolasLIL;
Nkunku;;Nkunku;PSG;Midfielder;NkunkuPSG;
Nolan Roux;Nolan;Roux;MET;Forward;RouxNolanMET;
Nordi Mukiele;Nordi;Mukiele;MTP;Defender;MukieleNordiMTP;
Alexandre Oukidja;Alexandre;Oukidja;STR;Goalkeeper;OukidjaAlexandreSTR;
Ola Toivonen;Ola;Toivonen;TOU;Forward;ToivonenOlaTOU;
Ole Selnaes;Ole;Selnaes;ETI;Midfielder;SelnaesOleETI;
Jean Michael Seri;Jean Michael;Seri;NIC;Midfielder;SeriJean_MichaelNIC;
Opa Nguette;Opa;Nguette;MET;Midfielder;NguetteOpaMET;
Johann Obiang;Johann;Obiang;TRO;Defender;ObiangJohannTRO;
Otavio;;Otavio;BDX;Midfielder;OtavioBDX;
Oualid El Hajjam;Oualid;El Hajjam;AMN;Defender;El_HajjamOualidAMN;
Oumar Pouye;Oumar;Pouye;STR;Forward;PouyeOumarSTR;
Oussama Haddadi;Oussama;Haddadi;DIJ;Defender;HaddadiOussamaDIJ;
Oussama Tannane;Oussama;Tannane;ETI;Forward;TannaneOussamaETI;
Idriss Saadi;Idriss;Saadi;STR;Forward;SaadiIdrissSTR;
Pape Cheikh Diop;Pape;Cheikh Diop;LYO;Midfielder;Cheikh_DiopPapeLYO;
Patrice Evra;Patrice;Evra;MAR;Defender;EvraPatriceMAR;
Alassane Plea;Alassane;Plea;NIC;Forward;PleaAlassaneNIC;
Paul Lasne;Paul;Lasne;MTP;Midfielder;LasnePaulMTP;
Simon Pouplin  ;Simon;Pouplin;NIC;Goalkeeper;PouplinSimonNIC;
Pavle Ninkov;Pavle;Ninkov;TOU;Defender;NinkovPavleTOU;
Pedro Mendes;;Pedro Mendes;MTP;Defender;Pedro_MendesMTP;
Pedro Rebocho;Pedro;Rebocho;GUI;Defender;RebochoPedroGUI;
Perrin Gaetan;Perrin;Gaetan;LYO;Forward;GaetanPerrinLYO;
Philipp Wollscheid;Philipp;Wollscheid;MET;Defender;WollscheidPhilippMET;
Gr?goire Puel;Gregoire;Puel;NIC;Defender;PuelGregoireNIC;
Pierre-Yves Polomat;Pierre-Yves;Polomat;ETI;Defender;PolomatPierre-YvesETI;
Pierrick Capelle;Pierrick;Capelle;ANG;Midfielder;CapellePierrickANG;
Pierrick Fito;Pierrick;Fito;MTP;Midfielder;FitoPierrickMTP;
Prejuce Niguimbe Nakoulma;Prejuce;Niguimbe Nakoulma;NTE;Forward;Niguimbe_NakoulmaPrejuceNTE;
Presnel Kimpembe;Presnel;Kimpembe;PSG;Defender;KimpembePresnelPSG;
Prince Gouano;Prince;Gouano;AMN;Defender;GouanoPrinceAMN;
Quentin Bernard;Quentin;Bernard;DIJ;Defender;BernardQuentinDIJ;
Quentin Boisgard  ;Quentin;Boisgard;TOU;Midfielder;BoisgardQuentinTOU;
Quentin Braat;Quentin;Braat;NTE;Goalkeeper;BraatQuentinNTE;
Lacine Traore;Lacina;Traore;AMN;Forward;TraoreLacinaAMN;
Quentin Cornette;Quentin;Cornette;AMN;Forward;CornetteQuentinAMN;
Quentin Depehi;Quentin;Depehi;TOU;Forward;DepehiQuentinTOU;
Soualiho Meite;Soualiho;Meite;MON;Midfielder;MeiteSoualihoMON;
Joao Minho;Joao;Moutinho;MON;Midfielder;MoutinhoJoaoMON;
Kevin Ndoram;Kevin;Ndoram;MON;Defender;NdoramKevinMON;
Rafael;;Rafael;LYO;Defender;RafaelLYO;
Rais Mbolhi;Rais;Mbolhi;REN;Goalkeeper;MbolhiRaisREN;
Mexer;;Mexer;REN;Defender;MexerREN;
Randal Kolo Muani  ;Randal;Kolo Muani;NTE;Midfielder;Kolo_MuaniRandalNTE;
Bryan Pele;Bryan;Pele;TRO;Midfielder;PeleBryanTRO;
Raphael Adiceam;Raphael;Adiceam;AMN;Goalkeeper;AdiceamRaphaelAMN;
Mamadou Samassa;Mamadou;Samassa;TRO;Goalkeeper;SamassaMamadouTRO;
Quentin Ngakou;Quentin;Ngakou;MON;Forward;NgakouQuentinMON;
Rayan Souici;Rayan;Souici;ETI;Midfielder;SouiciRayanETI;
Reda Rabei;Reda;Rabei;AMN;Midfielder;RabeiRedaAMN;
Serge Gakpe;Serge;Gakpe;AMN;Forward;GakpeSergeAMN;
Regis Gurtner;Regis;Gurtner;AMN;Goalkeeper;GurtnerRegisAMN;
Paulin Puel;Paulin;Puel;NIC;Forward;PuelPaulinNIC;
Remy Cabella;Remy;Cabella;ETI;Midfielder;CabellaRemyETI;
Remy Descamps  ;Remy;Descamps;PSG;Goalkeeper;DescampsRemyPSG;
Remy Vercoutre;Remy;Vercoutre;CAE;Goalkeeper;VercoutreRemyCAE;
Renaud Cohade;Renaud;Cohade;MET;Midfielder;CohadeRenaudMET;
Reynald Lemaitre  ;Reynald;Lemaitre;GUI;Defender;LemaitreReynaldGUI;
Robert Beric;Robert;Beric;ETI;Forward;BericRobertETI;
Rod Fanni;Rod;Fanni;MAR;Defender;FanniRodMAR;
Romain Amalfitano;Romain;Amalfitano;DIJ;Midfielder;AmalfitanoRomainDIJ;
Firmin Mubele;Firmin;Mubele;REN;Forward;MubeleFirminREN;
Sanjin Prcic;Sanjin;Prcic;REN;Midfielder;PrcicSanjinREN;
Romain Del Castillo;Romain;Del Castillo;LYO;Midfielder;Del_CastilloRomainLYO;
Ihsan Sacko;Ihsan;Sacko;STR;Midfielder;SackoIhsanSTR;
Romain Genevois;Romain;Genevois;CAE;Defender;GenevoisRomainCAE;
Romain Hamouma;Romain;Hamouma;ETI;Forward;HamoumaRomainETI;
Romain Salin  ;Romain;Salin;GUI;Goalkeeper;SalinRomainGUI;
Romain Thomas;Romain;Thomas;ANG;Defender;ThomasRomainANG;
Romaric Ngouma  ;Romaric;Ngouma;LYO;Defender;NgoumaRomaricLYO;
Rominigue Kouame;Rominigue;Kouame;LIL;Midfielder;KouameRominigueLIL;
Rominigue Kouame  ;Rominigue;Kouame;LIL;Defender;KouameRominigueLIL;
Ronael Pierre-Gabriel;Ronael;Pierre-Gabriel;ETI;Defender;Pierre-GabrielRonaelETI;
Ronan Touzet;Ronan;Touzet;ANG;Defender;TouzetRonanANG;
Ronny Rodelin;Ronny;Rodelin;CAE;Forward;RodelinRonnyCAE;
Andrea Raggi;Andrea;Raggi;MON;Defender;RaggiAndreaMON;
Djibril Sidibe;Djibril;Sidibe;MON;Defender;SidibeDjibrilMON;
Ruben Aguilar;Ruben;Aguilar;MTP;Defender;AguilarRubenMTP;
Nyamsi Gerzino;Gerzino;Nyamsi;REN;Defender;NyamsiGerzinoREN;
Anthony Ribelin;Anthony;Ribelin;REN;Midfielder;RibelinAnthonyREN;
Saidy Janko;Saidy;Janko;ETI;Defender;JankoSaidyETI;
Mamadou Sissako  ;Mamadou;Sissako;TRO;Forward;SissakoMamadouTRO;
Saliou Ciss;Saliou;Ciss;ANG;Defender;CissSaliouANG;
Hyun-Jun Suk;Hyun-Jun;Suk;TRO;Forward;SukHyun-JunTRO;
Jonathan Tinhan;Jonathan;Tinhan;TRO;Forward;TinhanJonathanTRO;
Samuel Moussamy;Samuel;Moussamy;NTE;Midfielder;MoussamySamuelNTE;
Sana Zaniou;Sana;Zaniou;TOU;Forward;ZaniouSanaTOU;
Sebastien Salles-Lamonge ;Sebastien;Salles-Lamonge;REN;Midfielder;Salles-LamongeSebastienREN;
Ismaila Sarr;Ismaila;Sarr;REN;Midfielder;SarrIsmailaREN;
Sekou Baradji;Sekou;Baradji;AMN;Midfielder;BaradjiSekouAMN;
Sergi Darder;Sergi;Darder;LYO;Midfielder;DarderSergiLYO;
Albert Rafetraniaina;Albert;Rafetraniaina;NIC;Midfielder;RafetraniainaAlbertNIC;
Sloan Privat;Sloan;Privat;GUI;Forward;PrivatSloanGUI;
Somalia;;Somalia;TOU;Midfielder;SomaliaTOU;
Danijel Subasic;Danijel;Subasic;MON;Goalkeeper;SubasicDanijelMON;
Souleymane Camara;Souleymane;Camara;MTP;Forward;CamaraSouleymaneMTP;
Steed Malbranque;Steed;Malbranque;CAE;Midfielder;MalbranqueSteedCAE;
Steeve Yago;Steeve;Yago;TOU;Defender;YagoSteeveTOU;
Stef Peeters;Stef;Peeters;CAE;Midfielder;PeetersStefCAE;
Yoann Salmier;Yoann;Salmier;STR;Defender;SalmierYoannSTR;
Charles Traore;Charles;Traore;TRO;Defender;TraoreCharlesTRO;
Stephane Ruffier;Stephane;Ruffier;ETI;Goalkeeper;RuffierStephaneETI;
Stephane Sessegnon;Stephane;Sessegnon;MTP;Midfielder;SessegnonStephaneMTP;
Youri Tielemans;Youri;Tielemans;MON;Midfielder;TielemansYouriMON;
Steve Mandanda;Steve;Mandanda;MAR;Goalkeeper;MandandaSteveMAR;
Steven Fortes  ;Steven;Fortes;TOU;Defender;FortesStevenTOU;
Yacouba Sylla;Yacouba;Sylla;REN;Midfielder;SyllaYacoubaREN;
Tanguy NDombele;Tanguy;NDombele;LYO;Midfielder;NDombeleTanguyLYO;
Almamy Toure;Almamy;Toure;MON;Defender;ToureAlmamyMON;
Theo Guivarch;Theo;Guivarch;GUI;Goalkeeper;GuivarchTheoGUI;
Theo Pellenard;Theo;Pellenard;BDX;Defender;PellenardTheoBDX;
Thiago Maia;Thiago;Maia;LIL;Midfielder;MaiaThiagoLIL;
Thiago Mendes;Thiago;Mendes;LIL;Midfielder;MendesThiagoLIL;
Thiago Motta;Thiago;Motta;PSG;Midfielder;MottaThiagoPSG;
Thiago Silva;Thiago;Silva;PSG;Defender;SilvaThiagoPSG;
Thibault Giresse;Thibault;Giresse;GUI;Midfielder;GiresseThibaultGUI;
Thomas Didillon;Thomas;Didillon;MET;Goalkeeper;DidillonThomasMET;
Adama Traore;Adama;Traore;MON;Midfielder;TraoreAdamaMON;
Thomas Mangani;Thomas;Mangani;ANG;Midfielder;ManganiThomasANG;
Thomas Meunier;Thomas;Meunier;PSG;Defender;MeunierThomasPSG;
Thomas Monconduit;Thomas;Monconduit;AMN;Midfielder;MonconduitThomasAMN;
Timothe Cognat  ;Timothe;Cognat;LYO;Midfielder;CognatTimotheLYO;
Tomas Hubocan;Tomas;Hubocan;MAR;Defender;HubocanTomasMAR;
Jordan Tell;Jordan;Tell;REN;Forward;TellJordanREN;
Oswaldo Vizcarrondo;Oswaldo;Vizcarrondo;TRO;Defender;VizcarrondoOswaldoTRO;
Vahid Selimovic  ;Vahid;Selimovic;MET;Defender;SelimovicVahidMET;
Valentin Rongier;Valentin;Rongier;NTE;Midfielder;RongierValentinNTE;
Valentin Rosier  ;Valentin;Rosier;DIJ;Defender;RosierValentinDIJ;
Valentin Vada;Valentin;Vada;BDX;Midfielder;VadaValentinBDX;
Valentin Voisin  ;Valentin;Voisin;CAE;Midfielder;VoisinValentinCAE;
Valere Germain;Valere;Germain;MAR;Forward;GermainValereMAR;
Victor Mouangue Kingue;Victor;Mouangue Kingue;GUI;Defender;Mouangue_KingueVictorGUI;
Vincent Bessat;Vincent;Bessat;CAE;Midfielder;BessatVincentCAE;
Vincent Enyeama;Vincent;Enyeama;LIL;Goalkeeper;EnyeamaVincentLIL;
Allan Saint-Maximin;Allan;Saint-Maximin;NIC;Midfielder;Saint-MaximinAllanNIC;
Vincent Manceau;Vincent;Manceau;ANG;Defender;ManceauVincentANG;
Malang Sarr;Malang;Sarr;NIC;Defender;SarrMalangNIC;
Ernest Seka  ;Ernest;Seka;STR;Defender;SekaErnestSTR;
Vincent Pajot;Vincent;Pajot;ETI;Midfielder;PajotVincentETI;
Vincent Rufli;Vincent;Rufli;DIJ;Defender;RufliVincentDIJ;
Vincent Thill;Vincent;Thill;MET;Midfielder;ThillVincentMET;
Vitorino Hilton;Vitorino;Hilton;MTP;Defender;HiltonVitorinoMTP;
Vukasin Jovanovic;Vukasin;Jovanovic;BDX;Defender;JovanovicVukasinBDX;
Sabri Toufiqui;Sabri;Toufiqui;REN;Midfielder;ToufiquiSabriREN;
Wesley Sneijder;Wesley;Sneijder;NIC;Midfielder;SneijderWesleyNIC;
Bassem Srarfi;Bassem;Srarfi;NIC;Midfielder;SrarfiBassemNIC;
Arnaud Souquet;Arnaud;Souquet;NIC;Defender;SouquetArnaudNIC;
Wesley Lautoa;Wesley;Lautoa;DIJ;Defender;LautoaWesleyDIJ;
Wesley Said;Wesley;Said;DIJ;Forward;SaidWesleyDIJ;
Adrien Tameze;Adrien;Tameze;NIC;Midfielder;TamezeAdrienNIC;
Wilfried Kanga;Wilfried;Kanga;ANG;Forward;KangaWilfriedANG;
Wilfried Moimbe;Wilfried;Moimbe;NTE;Defender;MoimbeWilfriedNTE;
William Remy;William;Remy;MTP;Defender;RemyWilliamMTP;
Mahamane Traore;Mahamane;Traore;NIC;Midfielder;TraoreMahamaneNIC;
Yacine Bammou;Yacine;Bammou;NTE;Forward;BammouYacineNTE;
Hamari Traore;Hamari;Traore;REN;Defender;TraoreHamariREN;
Yann Bodiger;Yann;Bodiger;TOU;Midfielder;BodigerYannTOU;
Yann Jouffre;Yann;Jouffre;MET;Midfielder;JouffreYannMET;
Yannick Cahuzac;Yannick;Cahuzac;TOU;Midfielder;CahuzacYannickTOU;
Yannis Salibur;Yannis;Salibur;GUI;Midfielder;SaliburYannisGUI;
Yassine Benzia;Yassine;Benzia;LIL;Midfielder;BenziaYassineLIL;
Yaya Sanogo;Yaya;Sanogo;TOU;Forward;SanogoYayaTOU;
Erwin Zelazny;Erwin;Zelazny;TRO;Goalkeeper;ZelaznyErwinTRO;
Remi Walter;Remi;Walter;NIC;Midfielder;WalterRemiNIC;
Yoann Andreu;Yoann;Andreu;ANG;Defender;AndreuYoannANG;
Mehdi Zeffane  ;Mehdi;Zeffane;REN;Defender;ZeffaneMehdiREN;
Martin Terrier;Martin;Terrier;STR;Midfielder;TerrierMartinSTR;
Yohann Pele;Yohann;Pele;MAR;Goalkeeper;PeleYohannMAR;
Younousse Sankhare;Younousse;Sankhare;BDX;Midfielder;SankhareYounousseBDX;
Lacina Traore;Lacina;Traore;MON;Forward;TraoreLacinaMON;
Youssef Ait Bennasser;Youssef;Ait Bennasser;CAE;Midfielder;Ait_BennasserYoussefCAE;
Youssouf Sabaly;Youssouf;Sabaly;BDX;Defender;SabalyYoussoufBDX;
Yuri Berchiche;Yuri;Berchiche;PSG;Defender;BerchicheYuriPSG;
Yves Bissouma;Yves;Bissouma;LIL;Midfielder;BissoumaYvesLIL;
Zaydou Youssouf  ;Zaydou;Youssouf;BDX;Midfielder;YoussoufZaydouBDX;
Zinedine Machach;Zinedine;Machach;TOU;Midfielder;MachachZinedineTOU;
