ID;IDRECHERCHE1;PRENOM;NOM;TEAM;POS;PRIX;IDRECHERCHE2
;RolandoJorgeMAR;Jorge;Rolando;MAR;Defender;10;RolandoMAR;
;JorginhoETI;;Jorginho;ETI;Midfielder;10;
;HunouAdrienREN;Adrien;Hunou;REN;Midfielder;10;
;KayembeJorisNTE;Joris;Kayembe;NTE;Midfielder;10;
;IlokiJulesNTE;Jules;Iloki;NTE;Midfielder;10;
;DraxlerJulianPSG;Julian;Draxler;PSG;Forward;10;
;CardyJulienGUI;Julien;Cardy;GUI;Midfielder;10;
;FeretJulienCAE;Julien;Feret;CAE;Midfielder;10;
;IelschJulienAMN;Julien;Ielsch;AMN;Defender;10;
;TavaresJulioDIJ;Julio;Tavares;DIJ;Forward;10;
;AlonsoJuniorLIL;Junior;Alonso;LIL;Defender;10;
;SambiaJuniorMTP;Junior;Sambia;MTP;Midfielder;10;
;MartinJonasSTR;Jonas;Martin;STR;Midfielder;10;
;TraoreKalifaANG;Kalifa;Traore;ANG;Defender;10;
;KongoloTerenceMON;Terence;Kongolo;MON;Defender;10;
;AchahbarKarimGUI;Karim;Achahbar;GUI;Forward;10;
;KayeJanTRO;Jan;Kaye;TRO;Forward;10;
;Toko_EkambiKarlANG;Karl;Toko Ekambi;ANG;Forward;10;
;JohnssonKarl-JohanGUI;Karl-Johan;Johnsson;GUI;Goalkeeper;10;
;DollyKeaganMTP;Keagan;Dolly;MTP;Midfielder;10;
;Amian_AdouKelvinTOU;Kelvin;Amian Adou;TOU;Defender;10;
;MartinezPabloSTR;Pablo;Martinez;STR;Defender;10;
;Rocha_SantosKennyETI;Kenny;Rocha Santos;ETI;Midfielder;10;
;TeteKennyLYO;Kenny;Tete;LYO;Defender;10;
;JanvierNicolasREN;Nicolas;Janvier;REN;Midfielder;10;
;BerigaudKevinMTP;Kevin;Berigaud;MTP;Forward;10;
;MalcuitKevinLIL;Kevin;Malcuit;LIL;Defender;10;
;Monnet-PaquetKevinETI;Kevin;Monnet-Paquet;ETI;Forward;10;
;LemarThomasMON;Thomas;Lemar;MON;Midfielder;10;
;RimaneKevinPSG;Kevin;Rimane;PSG;Defender;10;
;Theophile-CatherineKevinETI;Kevin;Theophile-Catherine;ETI;Defender;10;
;TrappKevinPSG;Kevin;Trapp;PSG;Goalkeeper;10;
;AdenonKhaledAMN;Khaled;Adenon;AMN;Defender;10;
;PagliucaKilianLYO;Kilian;Pagliuca;LYO;Forward;10;
;SansonKillianMTP;Killian;Sanson;MTP;Midfielder;10;
;DjidjiKoffiNTE;Koffi;Djidji;NTE;Defender;10;
;SigthorssonKolbeinnNTE;Kolbeinn;Sigthorsson;NTE;Forward;10;
;MitroglouKonstantinosMAR;Konstantinos;Mitroglou;MAR;Forward;10;
;Lees-MelouPierreNIC;Pierre;Lees-Melou;NIC;Midfielder;10;
;NsorKwameMET;Kwame;Nsor;MET;Forward;10;
;MbappeKylianPSG;Kylian;Mbappe;PSG;Forward;10;
;Rony_LopesMON;;Rony Lopes;MON;Midfielder;10;
;NdourAbdallahSTR;Abdallah;Ndour;STR;Defender;10;
;JacobsenLarsGUI;Lars;Jacobsen;GUI;Defender;10;
;CoulibalyLassanaANG;Lassana;Coulibaly;ANG;Midfielder;10;
;PionnierLaurentMTP;Laurent;Pionnier;MTP;Goalkeeper;10;
;KurzawaLayvinPSG;Layvin;Kurzawa;PSG;Defender;10;
;PhiriLebogangGUI;Lebogang;Phiri;GUI;Midfielder;10;
;DuboisLeoNTE;Leo;Dubois;NTE;Defender;10;
;LacroixLeoETI;Leo;Lacroix;ETI;Defender;10;
;PerrinLoicETI;Loic;Perrin;ETI;Defender;10;
;PuyoLoicANG;Loic;Puyo;ANG;Midfielder;10;
;DionyLoisETI;Lois;Diony;ETI;Forward;10;
;CallegariLorenzoPSG;Lorenzo;Callegari;PSG;Midfielder;10;
;CanaLorikNTE;Lorik;Cana;NTE;Defender;10;
;DeauxLucasGUI;Lucas;Deaux;GUI;Midfielder;10;
;LimaLucasNTE;Lucas;Lima;NTE;Defender;10;
;MocioLucasLYO;Lucas;Mocio;LYO;Goalkeeper;10;
;MouraLucasPSG;Lucas;Moura;PSG;Forward;10;
;OcamposLucasMAR;Lucas;Ocampos;MAR;Midfielder;10;
;TousartLucasLYO;Lucas;Tousart;LYO;Midfielder;10;
;KhazriWahbiREN;Wahbi;Khazri;REN;Midfielder;10;
;BlasLudovicGUI;Ludovic;Blas;GUI;Midfielder;10;
;AraujoLuizLIL;Luiz;Araujo;LIL;Forward;10;
;Luiz_GustavoMAR;;Luiz Gustavo;MAR;Midfielder;10;
;LeragerLukasBDX;Lukas;Lerager;BDX;Midfielder;10;
;PokornyLukasMTP;Lukas;Pokorny;MTP;Defender;10;
;LlorisGautierNIC;Gautier;Lloris;NIC;Defender;10;
;TalalMahdiAMN;Mahdi;Talal;AMN;Midfielder;10;
;LusambaArnaudNIC;Arnaud;Lusamba;NIC;Midfielder;10;
;MalcomBDX;;Malcom;BDX;Forward;10;
;N'DiayeMamadouMTP;Mamadou;N'Diaye;MTP;Defender;10;
;KhaouiSaif-EddineTRO;Saif-Eddine;Khaoui;TRO;Forward;10;
;KoneMoryTRO;Mory;Kone;TRO;Defender;10;
;ThiamMamadouDIJ;Mamadou;Thiam;DIJ;Forward;10;
;Yanga-MbiwaMapouLYO;Mapou;Yanga-Mbiwa;LYO;Defender;10;
;VidalMarcTOU;Marc;Vidal;TOU;Goalkeeper;10;
;CaillardMarc-AureleGUI;Marc-Aurele;Caillard;GUI;Goalkeeper;10;
;MarceloLYO;;Marcelo;LYO;Defender;10;
;VerrattiMarcoPSG;Marco;Verratti;PSG;Midfielder;10;
;CocoMarcusGUI;Marcus;Coco;GUI;Midfielder;10;
;ThuramMarcusGUI;Marcus;Thuram;GUI;Forward;10;
;MarianoLYO;;Mariano;LYO;Forward;10;
;MakengoJean-VictorNIC;Jean-Victor;Makengo;NIC;Midfielder;10;
;MarquinhosPSG;;Marquinhos;PSG;Defender;10;
;NogueiraVincentSTR;Vincent;Nogueira;STR;Midfielder;10;
;PavlovicMateoANG;Mateo;Pavlovic;ANG;Defender;10;
;BodmerMathieuAMN;Mathieu;Bodmer;AMN;Midfielder;10;
;NianeAdamaTRO;Adama;Niane;TRO;Forward;10;
;GorgelinMathieuLYO;Mathieu;Gorgelin;LYO;Goalkeeper;10;
;MichelMathieuANG;Mathieu;Michel;ANG;Goalkeeper;10;
;AhlinviMatteoGUI;Matteo;Ahlinvi;GUI;Midfielder;10;
;DosseviMatthieuMET;Matthieu;Dossevi;MET;Midfielder;10;
;DreyerMatthieuCAE;Matthieu;Dreyer;CAE;Goalkeeper;10;
;UdolMatthieuMET;Matthieu;Udol;MET;Defender;10;
;GoicoecheaMauroTOU;Mauro;Goicoechea;TOU;Goalkeeper;10;
;GradelMaxTOU;Max;Gradel;TOU;Forward;10;
;BacaMaximeGUI;Maxime;Baca;GUI;Defender;10;
;DupeMaximeNTE;Maxime;Dupe;NTE;Goalkeeper;10;
;MallmannWallysonNIC;Wallyson;Mallmann;NIC;Midfielder;10;
;LopezMaximeMAR;Maxime;Lopez;MAR;Midfielder;10;
;PoundjeMaximeBDX;Maxime;Poundje;BDX;Defender;10;
;CornetMaxwelLYO;Maxwel;Cornet;LYO;Forward;10;
;AbeidMehdiDIJ;Mehdi;Abeid;DIJ;Midfielder;10;
;MboulaJordiMON;Jordi;Mboula;MON;Forward;10;
;Jean-TahratMehdiANG;Mehdi;Jean-Tahrat;ANG;Defender;10;
;KoubekTomasREN;Tomas;Koubek;REN;Goalkeeper;10;
;DepayMemphisLYO;Memphis;Depay;LYO;Midfielder;10;
;Lea_SilikiJames_EdwardREN;James Edward;Lea Siliki;REN;Midfielder;10;
;MarlonNIC;;Marlon;NIC;Defender;10;
;MarcelVincentNIC;Vincent;Marcel;NIC;Forward;10;
;NadeMickaelETI;Mickael;Nade;ETI;Defender;10;
;RomanMihaiTOU;Mihai;Roman;TOU;Midfielder;10;
;MaignanMikeLIL;Mike;Maignan;LIL;Goalkeeper;10;
;BisevacMilanMET;Milan;Bisevac;MET;Defender;10;
;GajicMilanBDX;Milan;Gajic;BDX;Defender;10;
;LenjaniErmirREN;Ermir;Lenjani;REN;Defender;10;
;MboulaJordiMON;Jordi;Mboula;MON;Midfielder;10;
;PoatyMorganMTP;Morgan;Poaty;MTP;Defender;10;
;SansonMorganMAR;Morgan;Sanson;MAR;Midfielder;10;
;NivetBenjaminTRO;Benjamin;Nivet;TRO;Midfielder;10;
;DiakhabyMouctarLYO;Mouctar;Diakhaby;LYO;Defender;10;
;DaboMouhamadouCAE;Mouhamadou;Dabo;CAE;Defender;10;
;KonateMoussaAMN;Moussa;Konate;AMN;Forward;10;
;NiakhateMoussaMET;Moussa;Niakhate;MET;Defender;10;
;SeydiMoussaMET;Moussa;Seydi;MET;Midfielder;10;
;DialloMoustaphaGUI;Moustapha;Diallo;GUI;Midfielder;10;
;MaolidaMyzianeLYO;Myziane;Maolida;LYO;Forward;10;
;FekirNabilLYO;Nabil;Fekir;LYO;Forward;10;
;SlitiNaimDIJ;Naim;Sliti;DIJ;Midfielder;10;
;GandiNajibNTE;Najib;Gandi;NTE;Midfielder;10;
;MendyNampalysNIC;Nampalys;Mendy;NIC;Midfielder;10;
;IkoneNanitamo_JonathanMTP;Nanitamo Jonathan;Ikone;MTP;Midfielder;10;
;NathanAMN;;Nathan;AMN;Midfielder;10;
;DekokeNathanAMN;Nathan;Dekoke;AMN;Defender;10;
;NeymarPSG;;Neymar;PSG;Forward;10;
;BasinNicolasMET;Nicolas;Basin;MET;Defender;10;
;BenezetNicolasGUI;Nicolas;Benezet;GUI;Midfielder;10;
;CozzaNicolasMTP;Nicolas;Cozza;MTP;Defender;10;
;De_PrevilleNicolasBDX;Nicolas;De Preville;BDX;Forward;10;
;MaouassaFaitoutREN;Faitout;Maouassa;REN;Midfielder;10;
;PalloisNicolasNTE;Nicolas;Pallois;NTE;Defender;10;
;PepeNicolasLIL;Nicolas;Pepe;LIL;Forward;10;
;NkunkuPSG;;Nkunku;PSG;Midfielder;10;
;RouxNolanMET;Nolan;Roux;MET;Forward;10;
;MukieleNordiMTP;Nordi;Mukiele;MTP;Defender;10;
;OukidjaAlexandreSTR;Alexandre;Oukidja;STR;Goalkeeper;10;
;ToivonenOlaTOU;Ola;Toivonen;TOU;Forward;10;
;SelnaesOleETI;Ole;Selnaes;ETI;Midfielder;10;
;SeriJean_MichaelNIC;Jean Michael;Seri;NIC;Midfielder;10;
;NguetteOpaMET;Opa;Nguette;MET;Midfielder;10;
;ObiangJohannTRO;Johann;Obiang;TRO;Defender;10;
;OtavioBDX;;Otavio;BDX;Midfielder;10;
;El_HajjamOualidAMN;Oualid;El Hajjam;AMN;Defender;10;
;PouyeOumarSTR;Oumar;Pouye;STR;Forward;10;
;HaddadiOussamaDIJ;Oussama;Haddadi;DIJ;Defender;10;
;TannaneOussamaETI;Oussama;Tannane;ETI;Forward;10;
;SaadiIdrissSTR;Idriss;Saadi;STR;Forward;10;
;Cheikh_DiopPapeLYO;Pape;Cheikh Diop;LYO;Midfielder;10;
;EvraPatriceMAR;Patrice;Evra;MAR;Defender;10;
;PleaAlassaneNIC;Alassane;Plea;NIC;Forward;10;
;LasnePaulMTP;Paul;Lasne;MTP;Midfielder;10;
;PouplinSimonNIC;Simon;Pouplin;NIC;Goalkeeper;10;
;NinkovPavleTOU;Pavle;Ninkov;TOU;Defender;10;
;Pedro_MendesMTP;;Pedro Mendes;MTP;Defender;10;
;RebochoPedroGUI;Pedro;Rebocho;GUI;Defender;10;
;GaetanPerrinLYO;Perrin;Gaetan;LYO;Forward;10;
;WollscheidPhilippMET;Philipp;Wollscheid;MET;Defender;10;
;PuelGregoireNIC;Gregoire;Puel;NIC;Defender;10;
;PolomatPierre-YvesETI;Pierre-Yves;Polomat;ETI;Defender;10;
;CapellePierrickANG;Pierrick;Capelle;ANG;Midfielder;10;
;FitoPierrickMTP;Pierrick;Fito;MTP;Midfielder;10;
;Niguimbe_NakoulmaPrejuceNTE;Prejuce;Niguimbe Nakoulma;NTE;Forward;10;
;KimpembePresnelPSG;Presnel;Kimpembe;PSG;Defender;10;
;GouanoPrinceAMN;Prince;Gouano;AMN;Defender;10;
;BernardQuentinDIJ;Quentin;Bernard;DIJ;Defender;10;
;BoisgardQuentinTOU;Quentin;Boisgard;TOU;Midfielder;10;
;BraatQuentinNTE;Quentin;Braat;NTE;Goalkeeper;10;
;TraoreLacinaAMN;Lacina;Traore;AMN;Forward;10;
;CornetteQuentinAMN;Quentin;Cornette;AMN;Forward;10;
;DepehiQuentinTOU;Quentin;Depehi;TOU;Forward;10;
;MeiteSoualihoMON;Soualiho;Meite;MON;Midfielder;10;
;MoutinhoJoaoMON;Joao;Moutinho;MON;Midfielder;10;
;NdoramKevinMON;Kevin;Ndoram;MON;Defender;10;
;RafaelLYO;;Rafael;LYO;Defender;10;
;MbolhiRaisREN;Rais;Mbolhi;REN;Goalkeeper;10;
;MexerREN;;Mexer;REN;Defender;10;
;Kolo_MuaniRandalNTE;Randal;Kolo Muani;NTE;Midfielder;10;
;PeleBryanTRO;Bryan;Pele;TRO;Midfielder;10;
;AdiceamRaphaelAMN;Raphael;Adiceam;AMN;Goalkeeper;10;
;SamassaMamadouTRO;Mamadou;Samassa;TRO;Goalkeeper;10;
;NgakouQuentinMON;Quentin;Ngakou;MON;Forward;10;
;SouiciRayanETI;Rayan;Souici;ETI;Midfielder;10;
;RabeiRedaAMN;Reda;Rabei;AMN;Midfielder;10;
;GakpeSergeAMN;Serge;Gakpe;AMN;Forward;10;
;GurtnerRegisAMN;Regis;Gurtner;AMN;Goalkeeper;10;
;PuelPaulinNIC;Paulin;Puel;NIC;Forward;10;
;CabellaRemyETI;Remy;Cabella;ETI;Midfielder;10;
;DescampsRemyPSG;Remy;Descamps;PSG;Goalkeeper;10;
;VercoutreRemyCAE;Remy;Vercoutre;CAE;Goalkeeper;10;
;CohadeRenaudMET;Renaud;Cohade;MET;Midfielder;10;
;LemaitreReynaldGUI;Reynald;Lemaitre;GUI;Defender;10;
;BericRobertETI;Robert;Beric;ETI;Forward;10;
;FanniRodMAR;Rod;Fanni;MAR;Defender;10;
;AmalfitanoRomainDIJ;Romain;Amalfitano;DIJ;Midfielder;10;
;MubeleFirminREN;Firmin;Mubele;REN;Forward;10;
;PrcicSanjinREN;Sanjin;Prcic;REN;Midfielder;10;
;Del_CastilloRomainLYO;Romain;Del Castillo;LYO;Midfielder;10;
;SackoIhsanSTR;Ihsan;Sacko;STR;Midfielder;10;
;GenevoisRomainCAE;Romain;Genevois;CAE;Defender;10;
;HamoumaRomainETI;Romain;Hamouma;ETI;Forward;10;
;SalinRomainGUI;Romain;Salin;GUI;Goalkeeper;10;
;ThomasRomainANG;Romain;Thomas;ANG;Defender;10;
;NgoumaRomaricLYO;Romaric;Ngouma;LYO;Defender;10;
;KouameRominigueLIL;Rominigue;Kouame;LIL;Midfielder;10;
;KouameRominigueLIL;Rominigue;Kouame;LIL;Defender;10;
;Pierre-GabrielRonaelETI;Ronael;Pierre-Gabriel;ETI;Defender;10;
;TouzetRonanANG;Ronan;Touzet;ANG;Defender;10;
;RodelinRonnyCAE;Ronny;Rodelin;CAE;Forward;10;
;RaggiAndreaMON;Andrea;Raggi;MON;Defender;10;
;SidibeDjibrilMON;Djibril;Sidibe;MON;Defender;10;
;AguilarRubenMTP;Ruben;Aguilar;MTP;Defender;10;
;NyamsiGerzinoREN;Gerzino;Nyamsi;REN;Defender;10;
;RibelinAnthonyREN;Anthony;Ribelin;REN;Midfielder;10;
;JankoSaidyETI;Saidy;Janko;ETI;Defender;10;
;SissakoMamadouTRO;Mamadou;Sissako;TRO;Forward;10;
;CissSaliouANG;Saliou;Ciss;ANG;Defender;10;
;SukHyun-JunTRO;Hyun-Jun;Suk;TRO;Forward;10;
;TinhanJonathanTRO;Jonathan;Tinhan;TRO;Forward;10;
;MoussamySamuelNTE;Samuel;Moussamy;NTE;Midfielder;10;
;ZaniouSanaTOU;Sana;Zaniou;TOU;Forward;10;
;Salles-LamongeSebastienREN;Sebastien;Salles-Lamonge;REN;Midfielder;10;
;SarrIsmailaREN;Ismaila;Sarr;REN;Midfielder;10;
;BaradjiSekouAMN;Sekou;Baradji;AMN;Midfielder;10;
;DarderSergiLYO;Sergi;Darder;LYO;Midfielder;10;
;RafetraniainaAlbertNIC;Albert;Rafetraniaina;NIC;Midfielder;10;
;PrivatSloanGUI;Sloan;Privat;GUI;Forward;10;
;SomaliaTOU;;Somalia;TOU;Midfielder;10;
;SubasicDanijelMON;Danijel;Subasic;MON;Goalkeeper;10;
;CamaraSouleymaneMTP;Souleymane;Camara;MTP;Forward;10;
;MalbranqueSteedCAE;Steed;Malbranque;CAE;Midfielder;10;
;YagoSteeveTOU;Steeve;Yago;TOU;Defender;10;
;PeetersStefCAE;Stef;Peeters;CAE;Midfielder;10;
;SalmierYoannSTR;Yoann;Salmier;STR;Defender;10;
;TraoreCharlesTRO;Charles;Traore;TRO;Defender;10;
;RuffierStephaneETI;Stephane;Ruffier;ETI;Goalkeeper;10;
;SessegnonStephaneMTP;Stephane;Sessegnon;MTP;Midfielder;10;
;TielemansYouriMON;Youri;Tielemans;MON;Midfielder;10;
;MandandaSteveMAR;Steve;Mandanda;MAR;Goalkeeper;10;
;FortesStevenTOU;Steven;Fortes;TOU;Defender;10;
;SyllaYacoubaREN;Yacouba;Sylla;REN;Midfielder;10;
;NDombeleTanguyLYO;Tanguy;NDombele;LYO;Midfielder;10;
;ToureAlmamyMON;Almamy;Toure;MON;Defender;10;
;GuivarchTheoGUI;Theo;Guivarch;GUI;Goalkeeper;10;
;PellenardTheoBDX;Theo;Pellenard;BDX;Defender;10;
;MaiaThiagoLIL;Thiago;Maia;LIL;Midfielder;10;
;MendesThiagoLIL;Thiago;Mendes;LIL;Midfielder;10;
;MottaThiagoPSG;Thiago;Motta;PSG;Midfielder;10;
;SilvaThiagoPSG;Thiago;Silva;PSG;Defender;10;
;GiresseThibaultGUI;Thibault;Giresse;GUI;Midfielder;10;
;DidillonThomasMET;Thomas;Didillon;MET;Goalkeeper;10;
;TraoreAdamaMON;Adama;Traore;MON;Midfielder;10;
;ManganiThomasANG;Thomas;Mangani;ANG;Midfielder;10;
;MeunierThomasPSG;Thomas;Meunier;PSG;Defender;10;
;MonconduitThomasAMN;Thomas;Monconduit;AMN;Midfielder;10;
;CognatTimotheLYO;Timothe;Cognat;LYO;Midfielder;10;
;HubocanTomasMAR;Tomas;Hubocan;MAR;Defender;10;
;TellJordanREN;Jordan;Tell;REN;Forward;10;
;VizcarrondoOswaldoTRO;Oswaldo;Vizcarrondo;TRO;Defender;10;
;SelimovicVahidMET;Vahid;Selimovic;MET;Defender;10;
;RongierValentinNTE;Valentin;Rongier;NTE;Midfielder;10;
;RosierValentinDIJ;Valentin;Rosier;DIJ;Defender;10;
;VadaValentinBDX;Valentin;Vada;BDX;Midfielder;10;
;VoisinValentinCAE;Valentin;Voisin;CAE;Midfielder;10;
;GermainValereMAR;Valere;Germain;MAR;Forward;10;
;Mouangue_KingueVictorGUI;Victor;Mouangue Kingue;GUI;Defender;10;
;BessatVincentCAE;Vincent;Bessat;CAE;Midfielder;10;
;EnyeamaVincentLIL;Vincent;Enyeama;LIL;Goalkeeper;10;
;Saint-MaximinAllanNIC;Allan;Saint-Maximin;NIC;Midfielder;10;
;ManceauVincentANG;Vincent;Manceau;ANG;Defender;10;
;SarrMalangNIC;Malang;Sarr;NIC;Defender;10;
;SekaErnestSTR;Ernest;Seka;STR;Defender;10;
;PajotVincentETI;Vincent;Pajot;ETI;Midfielder;10;
;RufliVincentDIJ;Vincent;Rufli;DIJ;Defender;10;
;ThillVincentMET;Vincent;Thill;MET;Midfielder;10;
;HiltonVitorinoMTP;Vitorino;Hilton;MTP;Defender;10;
;JovanovicVukasinBDX;Vukasin;Jovanovic;BDX;Defender;10;
;ToufiquiSabriREN;Sabri;Toufiqui;REN;Midfielder;10;
;SneijderWesleyNIC;Wesley;Sneijder;NIC;Midfielder;10;
;SrarfiBassemNIC;Bassem;Srarfi;NIC;Midfielder;10;
;SouquetArnaudNIC;Arnaud;Souquet;NIC;Defender;10;
;LautoaWesleyDIJ;Wesley;Lautoa;DIJ;Defender;10;
;SaidWesleyDIJ;Wesley;Said;DIJ;Forward;10;
;TamezeAdrienNIC;Adrien;Tameze;NIC;Midfielder;10;
;KangaWilfriedANG;Wilfried;Kanga;ANG;Forward;10;
;MoimbeWilfriedNTE;Wilfried;Moimbe;NTE;Defender;10;
;RemyWilliamMTP;William;Remy;MTP;Defender;10;
;TraoreMahamaneNIC;Mahamane;Traore;NIC;Midfielder;10;
;BammouYacineNTE;Yacine;Bammou;NTE;Forward;10;
;TraoreHamariREN;Hamari;Traore;REN;Defender;10;
;BodigerYannTOU;Yann;Bodiger;TOU;Midfielder;10;
;JouffreYannMET;Yann;Jouffre;MET;Midfielder;10;
;CahuzacYannickTOU;Yannick;Cahuzac;TOU;Midfielder;10;
;SaliburYannisGUI;Yannis;Salibur;GUI;Midfielder;10;
;BenziaYassineLIL;Yassine;Benzia;LIL;Midfielder;10;
;SanogoYayaTOU;Yaya;Sanogo;TOU;Forward;10;
;ZelaznyErwinTRO;Erwin;Zelazny;TRO;Goalkeeper;10;
;WalterRemiNIC;Remi;Walter;NIC;Midfielder;10;
;AndreuYoannANG;Yoann;Andreu;ANG;Defender;10;
;ZeffaneMehdiREN;Mehdi;Zeffane;REN;Defender;10;
;TerrierMartinSTR;Martin;Terrier;STR;Midfielder;10;
;PeleYohannMAR;Yohann;Pele;MAR;Goalkeeper;10;
;SankhareYounousseBDX;Younousse;Sankhare;BDX;Midfielder;10;
;TraoreLacinaMON;Lacina;Traore;MON;Forward;10;
;Ait_BennasserYoussefCAE;Youssef;Ait Bennasser;CAE;Midfielder;10;
;SabalyYoussoufBDX;Youssouf;Sabaly;BDX;Defender;10;
;BerchicheYuriPSG;Yuri;Berchiche;PSG;Defender;10;
;BissoumaYvesLIL;Yves;Bissouma;LIL;Midfielder;10;
;YoussoufZaydouBDX;Zaydou;Youssouf;BDX;Midfielder;10;
;MachachZinedineTOU;Zinedine;Machach;TOU;Midfielder;10;
